State,Tourist_Place,Wikimedia_Category_URL
Andhra Pradesh,Tirumala Temple,https://commons.wikimedia.org/wiki/Category:Tirumala_Venkateswara_Temple
Arunachal Pradesh,Tawang Monastery,https://commons.wikimedia.org/wiki/Category:Tawang_Monastery
Assam,Kaziranga National Park,https://commons.wikimedia.org/wiki/Category:Kaziranga_National_Park
Bihar,Mahabodhi Temple,https://commons.wikimedia.org/wiki/Category:Mahabodhi_Temple
Chhattisgarh,Chitrakote Falls,https://commons.wikimedia.org/wiki/Category:Chitrakote_Falls
Goa,Basilica of Bom Jesus,https://commons.wikimedia.org/wiki/Category:Basilica_of_Bom_Jesus
Gujarat,Statue of Unity,https://commons.wikimedia.org/wiki/Category:Statue_of_Unity
Haryana,Kurukshetra,https://commons.wikimedia.org/wiki/Category:Kurukshetra
Himachal Pradesh,Rohtang Pass,https://commons.wikimedia.org/wiki/Category:Rohtang_Pass
Jharkhand,Hundru Falls,https://commons.wikimedia.org/wiki/Category:Hundru_Falls
Karnataka,Hampi,https://commons.wikimedia.org/wiki/Category:Hampi
Kerala,Alleppey Backwaters,https://commons.wikimedia.org/wiki/Category:Alappuzha
Madhya Pradesh,Sanchi Stupa,https://commons.wikimedia.org/wiki/Category:Sanchi
Maharashtra,Gateway of India,https://commons.wikimedia.org/wiki/Category:Gateway_of_India
Manipur,Loktak Lake,https://commons.wikimedia.org/wiki/Category:Loktak_Lake
Meghalaya,Living Root Bridges,https://commons.wikimedia.org/wiki/Category:Living_root_bridges
Mizoram,Vantawng Falls,https://commons.wikimedia.org/wiki/Category:Vantawng_Falls
Nagaland,Kisama Heritage Village,https://commons.wikimedia.org/wiki/Category:Kisama_Heritage_Village
Odisha,Konark Sun Temple,https://commons.wikimedia.org/wiki/Category:Konark_Sun_Temple
Punjab,Golden Temple,https://commons.wikimedia.org/wiki/Category:Golden_Temple
Rajasthan,Hawa Mahal,https://commons.wikimedia.org/wiki/Category:Hawa_Mahal
Sikkim,Gurudongmar Lake,https://commons.wikimedia.org/wiki/Category:Gurudongmar_Lake
Tamil Nadu,Meenakshi Temple,https://commons.wikimedia.org/wiki/Category:Meenakshi_Amman_Temple
Telangana,Charminar,https://commons.wikimedia.org/wiki/Category:Charminar
Tripura,Neermahal Palace,https://commons.wikimedia.org/wiki/Category:Neermahal
Uttar Pradesh,Taj Mahal,https://commons.wikimedia.org/wiki/Category:Taj_Mahal
Uttarakhand,Kedarnath Temple,https://commons.wikimedia.org/wiki/Category:Kedarnath_Temple
West Bengal,Victoria Memorial,"https://commons.wikimedia.org/wiki/Category:Victoria_Memorial,_Kolkata"
